time,city,area,current_speed,free_speed,confidence,lat,lon
2026-03-31 18:51:34.469971,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:35.999374,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:37.549619,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:39.117244,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:40.722466,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:42.287838,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:43.912489,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:45.469878,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:47.009257,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:48.619571,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:50.196077,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:51.746972,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:53.416545,Delhi,Connaught Place,24,24,1,28.6315,77.2167
2026-03-31 18:51:55.021003,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:51:56.552736,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:51:58.174906,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:51:59.808341,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:01.482472,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:03.077331,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:04.682758,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:06.213372,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:08.661757,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:10.742705,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:12.917993,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:14.801745,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:16.528807,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:18.277358,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:20.050557,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:21.738659,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:52:23.414561,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:25.215193,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:26.984452,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:28.545037,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:30.146702,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:31.722813,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:33.276049,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:34.868765,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:36.418378,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:37.889703,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:39.456416,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:41.062141,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:42.595193,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:44.174015,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:45.730778,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:47.375557,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:48.904283,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:51.357260,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:52:52.999620,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:52:54.648662,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:52:56.327956,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:52:57.952033,Delhi,Connaught Place,18,24,1,28.6315,77.2167
